Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
53. Confessions of a Window Cleaner,1974,1h 30m,R,4.8,1.8K,,"A young and clumsy window cleaner working for his brother-in-law begins to realize that ""full service"" goes beyond just cleaning windows. Soon, he meets and becomes infatuated with a young female police officer.",https://www.imdb.com/title/tt0071357/?ref_=sr_i_53,"['Christopher Wood', 'Val Guest']",Val Guest,"['Robin Askwith', 'Anthony Booth', 'Sheila White', 'Dandy Nichols', 'Bill Maynard', 'Linda Hayden', 'John Le Mesurier', 'Joan Hickson', 'Katya Wyeth', 'Richard Wattis']",,,,,"November 8, 1974",['United Kingdom'],"Letchmore Heath, Hertfordshire, England, UK",['Columbia Pictures Corporation'],,['Comedy'],['English']
54. Blood for Dracula,1974,1h 46m,R,6.1,7K,,An ailing vampire count travels to Italy with his servant to find a bride.,https://www.imdb.com/title/tt0071233/?ref_=sr_i_54,"['Joe Dallesandro', 'Udo Kier', 'Vittorio De Sica']",Paul Morrissey,"['Joe Dallesandro', 'Udo Kier', 'Vittorio De Sica', 'Maxime McKendry', 'Arno Jürging', 'Milena Vukotic', 'Dominique Darel', 'Stefania Casini', 'Silvia Dionisio', 'Inna Alexeievna']",,,,"$283,134","November 6, 1974","['Italy', 'France', 'United States']","Villa Parisi, Frascati, Rome, Lazio, Italy","['Compagnia Cinematografica Champion', 'Yanne et Rassam', 'Andy Warhol Presentation']",2 nominations total,['Horror'],['English']
55. Julia,1974,1h 23m,R,4.7,691,,"Pauli is a sexually frustrated young man who's surrounded by sexually liberated women who will not give him the time of day. He meets a beautiful virgin woman, Andrea, who strongly resists his charms, which compounds his frustrations.",https://www.imdb.com/title/tt0071754/?ref_=sr_i_55,"['Jean-Claude Bouillon', 'Sylvia Kristel', 'Teri Tordai']",Sigi Rothemund,"['Jean-Claude Bouillon', 'Sylvia Kristel', 'Teri Tordai', 'Ekkehardt Belle', 'Gisela Hahn', 'Peter Berling', 'Rose Renée Roth', 'Dominique Delpierre', 'Christine Glasner', 'Michael Tietz']",,,,,"September 20, 1974",['West Germany'],"Arena di Verona, Verona, Veneto, Italy",['Lisa-Film'],,['Drama'],['German']
56. Deep Throat Part II,1974,1h 28m,R,3.6,750,,"When one of sex therapist extraordinaire Linda's patients turns out to be harboring the plans to a top-secret government computer, both the KGB and the CIA attempt to enlist Linda in their efforts to steal the data.",https://www.imdb.com/title/tt0069957/?ref_=sr_i_56,"['Linda Lovelace', 'Harry Reems', 'Levi Richards']",Joseph W. Sarno,"['Linda Lovelace', 'Harry Reems', 'Levi Richards', 'David Davidson', 'Andrea True', 'Kathie Fitch', 'Gus Thomas', 'Kevin Andre', 'Carlo Gonzales', 'Jamie Gillis']",,,,"$350,000","December 6, 1975",['United States'],"Farragut Rd & E 79th St, New York City, New York, USA",['Damiano Films'],,"['Comedy', 'Sci-Fi']",['English']
57. The Parallax View,1974,1h 42m,R,7.1,23K,65.0,An ambitious reporter gets in way-over-his-head trouble while investigating a senator's assassination which leads to a vast conspiracy involving a multinational corporation behind every event in the world's headlines.,https://www.imdb.com/title/tt0071970/?ref_=sr_i_57,"['David Giler', 'Lorenzo Semple Jr.', 'Loren Singer']",Alan J. Pakula,"['Warren Beatty', 'Paula Prentiss', 'William Daniels', 'Walter McGinn', 'Hume Cronyn', 'Kelly Thordsen', 'Chuck Waters', 'Earl Hindman', 'William Joyce', 'Betty Murray']",,,"$3,416",,"June 19, 1974",['United States'],"Gorge Dam, Skagit River, Washington, USA","['Doubleday Productions', 'Doubleday', 'Gus']",2 wins & 3 nominations total,"['Political Thriller', 'Drama', 'Mystery', 'Thriller']",['English']
58. My Little Loves,1974,2h 3m,,7.1,1.6K,,A boy is left to his own devices when his mother refuses to pay for his schooling.,https://www.imdb.com/title/tt0071833/?ref_=sr_i_58,"['Martin Loeb', 'Jacqueline Dufranne', 'Jacques Romain']",Jean Eustache,"['Martin Loeb', 'Jacqueline Dufranne', 'Jacques Romain', 'Ingrid Caven', 'Vincent Testanière', 'Roger Rizzi', 'Anne Stroka', 'Cirque Muller', 'Syndra Kahn', 'Jean-Jacques Bihan']",,,,,"December 18, 1974",['France'],"Pessac, France","['Elite Films', 'Gala']",2 nominations total,['Drama'],['French']
59. Messiah of Evil,1974,1h 30m,R,6.3,6.6K,69.0,A young woman goes searching for her missing artist father. Her journey takes her to a strange Californian seaside town governed by a mysterious undead cult.,https://www.imdb.com/title/tt0071396/?ref_=sr_i_59,"['Michael Greer', 'Marianna Hill', 'Joy Bang']",Willard Huyck,"['Michael Greer', 'Marianna Hill', 'Joy Bang', 'Anitra Ford', 'Royal Dano', 'Elisha Cook Jr.', 'Charles Dierkop', 'Bennie Robinson', 'Morgan Fisher', 'Emma Truckman']",,,,,"December 11, 1974",['United States'],"Anaheim, California, USA","['V/M Productions', 'International Cine Film Corp.']",,['Horror'],['English']
60. Airport 1975,1974,1h 47m,PG,5.7,13K,50.0,"A 747 in flight collides with a small plane, and is rendered pilotless. Somehow the control tower must get a pilot aboard so the jet can land.",https://www.imdb.com/title/tt0071110/?ref_=sr_i_60,"['Charlton Heston', 'Karen Black', 'George Kennedy']",Jack Smight,"['Charlton Heston', 'Karen Black', 'George Kennedy', 'Efrem Zimbalist Jr.', 'Susan Clark', 'Helen Reddy', 'Linda Blair', 'Dana Andrews', 'Roy Thinnes', 'Sid Caesar']","$3,000,000 (estimated)",,,,"October 18, 1974",['United States'],"Edwards Air Force Base, California, USA",['Universal Pictures'],1 nomination total,"['Dark Comedy', 'Disaster', 'Action', 'Drama', 'Thriller']",['English']
61. Bring Me the Head of Alfredo Garcia,1974,1h 52m,R,7.4,22K,80.0,An American barroom pianist and his prostitute girlfriend go on a trip through the Mexican underworld to collect the bounty on the head of a dead gigolo.,https://www.imdb.com/title/tt0071249/?ref_=sr_i_61,"['Gordon T. Dawson', 'Sam Peckinpah', 'Frank Kowalski']",Sam Peckinpah,"['Warren Oates', 'Isela Vega', 'Robert Webber', 'Gig Young', 'Helmut Dantine', 'Emilio Fernández', 'Kris Kristofferson', 'Chano Urueta', 'Donnie Fritts', 'Jorge Russek']","$1,500,000 (estimated)",,"$18,894",,"August 7, 1974","['United States', 'Mexico']","Hidalgo, Mexico","['Optimus Films', 'Estudios Churubusco Azteca S.A.']",2 nominations total,"['Contemporary Western', 'Dark Comedy', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller', 'Western']","['English', 'Spanish', 'Latin']"
62. Gone in 60 Seconds,1974,1h 38m,PG,6.3,10K,56.0,"When a South American drug lord pays Pace to steal 48 cars for him, all but one is in the bag - thereby, the police precipitate in a desperate car chase against Pace and his Eleanor across Southern California.",https://www.imdb.com/title/tt0071571/?ref_=sr_i_62,"['H.B. Halicki', 'Marion Busia', 'Jerry Daugirda']",H.B. Halicki,"['H.B. Halicki', 'Marion Busia', 'Jerry Daugirda', 'James McIntyre', 'George Cole', 'Ronald Halicki', 'Markos Kotsikos', 'Parnelli Jones', 'Gary Bettenhausen', 'Jonathan E. Fricke']","$150,000 (estimated)",,,,"July 28, 1974",['United States'],"Los Angeles Harbor, San Pedro, Los Angeles, California, USA",['H.B. Halicki Mercantile Company'],,"['Car Action', 'Action', 'Crime', 'Drama', 'Thriller']",['English']
63. Female Trouble,1974,1h 29m,NC-17,7.1,11K,,"A spoiled schoolgirl runs away from home, gets pregnant while hitch-hiking, and ends up as a fashion model for a pair of beauticians who like to photograph women committing crimes.",https://www.imdb.com/title/tt0072979/?ref_=sr_i_63,"['Divine', 'David Lochary', 'Mary Vivian Pearce']",John Waters,"['Divine', 'David Lochary', 'Mary Vivian Pearce', 'Mink Stole', 'Edith Massey', 'Cookie Mueller', 'Susan Walsh', 'Michael Potter', 'Ed Peranio', 'Paul Swift']","$25,000 (estimated)",,"$9,118",,"February 15, 1976",['United States'],"Little Tavern, 519 East 25th Street, Baltimore, Maryland, USA",['Dreamland'],,"['Dark Comedy', 'Farce', 'Satire', 'Comedy', 'Crime']",['English']
64. Vampyres,1974,1h 27m,R,6.0,4.5K,,A pair of women lure passers-by to their countryside mansion to feed on them to satisfy their need for blood.,https://www.imdb.com/title/tt0072354/?ref_=sr_i_64,"['Marianne Morris', 'Anulka Dziubinska', 'Murray Brown']",José Ramón Larraz,"['Marianne Morris', 'Anulka Dziubinska', 'Murray Brown', 'Brian Deacon', 'Sally Faulkner', 'Michael Byrne', 'Karl Lanchbury', 'Margaret Heald', 'Douglas Jones', 'Gerald Case']",,,,,January 1975,"['United Kingdom', 'Spain']","Oakley Court, Windsor Road, Oakley Green, Windsor, Berkshire, England, UK","['Essay Films', 'Lurco Films']",1 nomination total,['Horror'],['English']
65. Sex Through the Ages,1974,1h 28m,,4.5,111,,Comic look at the history of prostitution.,https://www.imdb.com/title/tt0260246/?ref_=sr_i_65,"['Charles Gray', 'Lloyd Lamble', 'Gloria Maley']",Stanley A. Long,"['Charles Gray', 'Lloyd Lamble', 'Gloria Maley', 'Olive McFarland', 'Paddy Ryan', 'Carmen Silvera', 'Karen Archer', 'Simon Joseph', 'David Brierly', 'Francis Batsoni']",,,,,"June 14, 1976",['United Kingdom'],"45 Tavistock Square, London, England, UK",['Salon Productions'],,['Comedy'],['English']
66. House on the Rocks,1974,1h 37m,,4.4,151,,"A handsome stepson visits his mother, a mature archaeologist living in a fishing house overlooking the sea. Their unexpected encounter sparks unwanted thoughts and sinful desires.",https://www.imdb.com/title/tt0258203/?ref_=sr_i_66,"['Bente Børsum', 'Christo Spyropoulos', 'Andreas Barkoulis']",George Zervoulakos,"['Bente Børsum', 'Christo Spyropoulos', 'Andreas Barkoulis', 'Anda Vartholomeou']",,,,,"January 28, 1974",['Greece'],,['G.D. Films'],,"['Drama', 'Romance']",['Greek']
67. The Yakuza,1974,1h 52m,R,7.2,11K,,American private-eye Harry Kilmer returns to Japan to rescue a friend's kidnapped daughter from the clutches of the Yakuza.,https://www.imdb.com/title/tt0073918/?ref_=sr_i_67,"['Robert Mitchum', 'Ken Takakura', 'Eiji Okada']",Sydney Pollack,"['Robert Mitchum', 'Ken Takakura', 'Eiji Okada', 'Herb Edelman', 'Richard Jordan', 'James Shigeta', 'Keiko Kishi', 'Christina Kokubo', 'Kyôsuke Machida', 'Brian Keith']","$5,000,000 (estimated)",,,,"March 19, 1975","['Japan', 'United States']","Kyoto, Japan","['Warner Bros.', 'Toei Company']",,"['Action', 'Crime', 'Drama', 'Thriller']","['English', 'Japanese']"
68. Successive Slidings of Pleasure,1974,1h 45m,Not Rated,6.2,1.5K,,"A cult erotic drama from the perverse imagination of Alain Robbe-Grillet, SUCCESSIVE SLIDINGS OF PLEASURE delves into the twisted mind of a young woman suspected in the stabbing death of her roommate Nora.",https://www.imdb.com/title/tt0070116/?ref_=sr_i_68,"['Anicée Alvina', 'Olga Georges-Picot', 'Michael Lonsdale']",Alain Robbe-Grillet,"['Anicée Alvina', 'Olga Georges-Picot', 'Michael Lonsdale', 'Jean Martin', 'Marianne Eggerickx', 'Isabelle Huppert', 'Maxence Mailfort', 'Claude Marcault', 'Nathalie Zeiger', 'Jean-Louis Trintignant']",,,,,"March 7, 1974",['France'],,"['Cosefa', 'S.N.E.T.C.']",,"['Fantasy', 'Horror', 'Thriller']",['French']
69. Dirty Mary Crazy Larry,1974,1h 33m,PG,6.6,8.1K,52.0,"Down-on-their-luck racers Larry and Deke steal from a supermarket manager to buy a car that will help them advance their racing chances. Their escape does not go as planned when Larry's one-night stand, Mary, tags along for the ride.",https://www.imdb.com/title/tt0071424/?ref_=sr_i_69,"['Leigh Chapman', 'Antonio Santean', 'Richard Unekis']",John Hough,"['Peter Fonda', 'Susan George', 'Adam Roarke', 'Kenneth Tobey', 'Eugene Daniels', 'Lynn Borden', 'Janear Hines', 'Elizabeth James', 'Adrianne Herman', 'T.J. Castronovo']","$1,140,000 (estimated)",,,,"May 17, 1974",['United States'],"130 West Stockton St., Sonora, California, USA","['Twentieth Century Fox', 'Academy Pictures']",,"['Dark Comedy', 'Action', 'Crime', 'Thriller']",['English']
70. Lenny,1974,1h 51m,R,7.5,18K,61.0,"The story of acerbic 1960s comic Lenny Bruce, whose groundbreaking, no-holds-barred style and social commentary was often deemed by the Establishment as too obscene for the public.",https://www.imdb.com/title/tt0071746/?ref_=sr_i_70,['Julian Barry'],Bob Fosse,"['Dustin Hoffman', 'Valerie Perrine', 'Jan Miner', 'Stanley Beck', 'Frankie Man', 'Rashel Novikoff', 'Gary Morton', 'Guy Rennie', 'Michele Yonge', 'Kathryn Witt']","$2,700,000 (estimated)",,,,"February 7, 1975",['United States'],"Miami Beach, Florida, USA","['Marvin Worth Productions', 'Tribe Entertainment Group']",7 wins & 17 nominations total,"['Tragedy', 'Biography', 'Drama']",['English']
71. The Teacher,1974,1h 38m,R,4.7,1.2K,,"An explosively tense story about a beautiful, provocative 28-year-old high school teacher whose seduction of one particular student proves fatal.",https://www.imdb.com/title/tt0072260/?ref_=sr_i_71,"['Angel Tompkins', 'Jay North', 'Anthony James']",Howard Avedis,"['Angel Tompkins', 'Jay North', 'Anthony James', 'Marlene Schmidt', 'Barry Atwater', 'Med Flory', 'Rudy Herrera Jr.', ""Quinn O'Hara"", 'Sivi Aberg', 'Richard Winterstein']","$65,000 (estimated)",,,,"June 3, 1976",['United States'],"Koppel Grain Elevators-Terminal Island, Long Beach, California, USA",['Hickmar Productions'],,"['Drama', 'Thriller']",['English']
72. Caged Heat,1974,1h 20m,R,5.3,3.2K,67.0,"In a women's prison, a group of inmates band together to combat the repressive and abusive policies of the crippled female warden and the corrupt prison doctor.",https://www.imdb.com/title/tt0071266/?ref_=sr_i_72,"['Juanita Brown', 'Erica Gavin', 'Roberta Collins']",Jonathan Demme,"['Juanita Brown', 'Erica Gavin', 'Roberta Collins', 'Ella Reid', 'Cheryl Smith', 'Barbara Steele', 'Warren Miller', 'Crystin Sinclaire', 'Mickey Fox', 'Toby Carr Rafelson']","$180,000 (estimated)",,,,"June 14, 1975",['United States'],"Lincoln Heights Jail - 401 N. Avenue 19, Lincoln Heights, Los Angeles, California, USA","['Renegade Women Company', 'Artists Entertainment Complex', 'New World Pictures']",1 nomination total,"['Satire', 'Action', 'Comedy', 'Drama']",['English']
73. Act of Vengeance,1974,1h 30m,R,5.5,1.1K,,A group of women take a martial arts class to punish a sadistic serial rapist who wears a hockey mask.,https://www.imdb.com/title/tt0072067/?ref_=sr_i_73,"['Jo Ann Harris', 'Peter Brown', 'Jennifer Lee Pryor']",Bob Kelljan,"['Jo Ann Harris', 'Peter Brown', 'Jennifer Lee Pryor', 'Lisa Moore', 'Connie Strickland', 'Patricia Estrin', 'Lada Edmund Jr.', 'Tony Young', 'Steve Kanaly', 'Ross Elliott']",,,,,"August 18, 1974",['United States'],"Los Angeles, California, USA","['American International Pictures (AIP)', 'Hollywood West Entertainment']",,"['Crime', 'Drama', 'Horror', 'Thriller']",['English']
74. The Demoniacs,1974,1h 40m,R,5.0,1.7K,,"A gang of pirates rape the two sole survivors of a ship wreck. The violated girls are rescued by the strange inhabitants of a supposedly haunted island, where they are granted supernatural powers to strike revenge against the pirates.",https://www.imdb.com/title/tt0070013/?ref_=sr_i_74,"['Joëlle Coeur', 'John Rico', 'Willy Braque']",Jean Rollin,"['Joëlle Coeur', 'John Rico', 'Willy Braque', 'Paul Bisciglia', 'Lieva Lone', 'Patricia Hermenier', 'Louise Dhour', 'Ben Zimet', 'Mireille Dargent', 'Miletic Zivomir']",,,,,June 1977,"['France', 'Belgium']","Abbaye de Villers, Villers-la-ville, Belgium","['Général Films', 'Les Films ABC', 'Nordia Films']",,['Horror'],['French']
75. The Lords of Flatbush,1974,1h 26m,PG,5.6,5.1K,53.0,Two members of a social club in 1950s Brooklyn have more interest in romance than in rumbles.,https://www.imdb.com/title/tt0071772/?ref_=sr_i_75,"['Stephen Verona', 'Gayle Gleckler', 'Martin Davidson']",Martin Davidson,"['Sylvester Stallone', 'Henry Winkler', 'Perry King', 'Paul Mace', 'Susan Blakely', 'Maria Smith', 'Renee Paris', 'Paul Jabara', 'Bruce Reed', 'Frank Stiefel']","$160,000 (estimated)",,,,"May 1, 1975",['United States'],"Sunrise Drive-In 750 W. Sunrise Hwy, Valley Stream, New York, USA",['Ebbets Field'],,"['Comedy', 'Drama', 'Romance']",['English']
76. Scenes from a Marriage,1974,2h 49m,PG,8.3,9.3K,,"Chronicles the many years of love and turmoil that bind Marianne and Johan through matrimony, infidelity, divorce, and subsequent partners.",https://www.imdb.com/title/tt6725014/?ref_=sr_i_76,"['Liv Ullmann', 'Erland Josephson', 'Bibi Andersson']",Ingmar Bergman,"['Liv Ullmann', 'Erland Josephson', 'Bibi Andersson', 'Gunnel Lindblom', 'Jan Malmsjö', 'Rossana Mariano', 'Anita Wall', 'Lena Bergman']",,,$250,,"September 15, 1974",['Sweden'],"Fårö, Gotlands län, Sweden",['Cinematograph AB'],8 wins & 5 nominations total,['Drama'],['Swedish']
77. Dead of Night,1974,1h 28m,PG,6.6,6.4K,,A young soldier killed in the Vietnam War inexplicably shows up at his family home on the night of his death.,https://www.imdb.com/title/tt0068457/?ref_=sr_i_77,"['John Marley', 'Lynn Carlin', 'Richard Backus']",Bob Clark,"['John Marley', 'Lynn Carlin', 'Richard Backus', 'Henderson Forsythe', 'Anya Ormsby', 'Jane Daly', 'Michael Mazes', 'Arthur Anderson', 'Arthur Bradley', 'David Gawlikowski']","$235,000 (estimated)",,,,"August 29, 1974","['United Kingdom', 'Canada']","41 Drive-In, Brooksville, Florida, USA","['Dead Walk Company', 'Impact Films', 'Quadrant Films']",1 win total,"['Drama', 'Horror', 'Thriller']",['English']
78. The Swinging Cheerleaders,1974,1h 31m,R,5.1,1.4K,,"A college journalist infiltrates the campus' cheerleading squad to write an piece on female exploitation, but instead makes unlikely friendships and uncovers a conspiracy involving the football team's coach.",https://www.imdb.com/title/tt0072236/?ref_=sr_i_78,"['Jo Johnston', 'Cheryl Smith', 'Colleen Camp']",Jack Hill,"['Jo Johnston', 'Cheryl Smith', 'Colleen Camp', 'Rosanne Katon', 'Ron Hajak', 'Ric Carrott', 'Jason Sommers', 'Ian Sander', 'George D. Wallace', 'Jack Denton']","$150,000 (estimated)",,,,"September 25, 1974",['United States'],"Esplanade Street & Argonaut Street, Playa del Rey, Los Angeles, California, USA",['Centaur'],,"['Comedy', 'Sport']",['English']
